en-US	de-DE	es-ES	es-MX	fr-CA	fr-FR	fr-CH	fr-BE	it-IT	it-CH	ja-JP	nl-NL	nl-BE	pt-BR	zh-CN	en-CA	en-IN	en-AU	en-EU	en-MY
What size room are you setting up? 	Wie groß ist der Raum, den Sie einrichten?	¿Qué tamaño de sala va a configurar?	¿Cuál es el tamaño de la sala que estás instalando?	Quelle taille de salle configurez-vous?	Quelle taille de salle configurez-vous?	Quelle taille de salle configurez-vous?	Quelle taille de salle configurez-vous?	Di quali dimensioni è la stanza che stai allestendo?	Di quali dimensioni è la stanza che stai allestendo?	構成しようとしている会議室はどの程度の規模ですか？	Hoe groot is de ruimte die u inricht?	Hoe groot is de ruimte die u inricht?	Qual é o tamanho da sala que será equipada?	您要设置多大的会议室？	What size room are you setting up? 	What size room are you setting up? 	What size room are you setting up? 	What size room are you setting up? 	What size room are you setting up? 
Choose the option that best matches the seating capacity of your room.	Wählen Sie die Option, die am besten zu der Kapazität Ihres Raums passt.	Elija la opción que mejor se adapte a la capacidad de su sala.	Elige la opción que mejor se adapte a la cantidad de asientos de tu sala.	Choisissez l’option qui correspond le mieux à la capacité de votre salle.	Choisissez l’option qui correspond le mieux à la capacité de votre salle.	Choisissez l’option qui correspond le mieux à la capacité de votre salle.	Choisissez l’option qui correspond le mieux à la capacité de votre salle.	Scegli l’opzione più adatta alla capienza della sala.	Scegli l’opzione più adatta alla capienza della sala.	会議室の収容人数が最も近いものをお選びください。	Kies de optie die het beste past bij de capaciteit van uw ruimte.	Kies de optie die het beste past bij de capaciteit van uw ruimte.	Escolha a opção que melhor corresponda ao número de assentos da sua sala.	选择最符合您的会议室座位容量的选项。	Choose the option that best matches the seating capacity of your room.	Choose the option that best matches the seating capacity of your room.	Choose the option that best matches the seating capacity of your room.	Choose the option that best matches the seating capacity of your room.	Choose the option that best matches the seating capacity of your room.
LOGITECH ROOM CONFIGURATOR	LOGITECH RAUMKONFIGURATOR	CONFIGURADOR DE SALAS DE LOGITECH	CONFIGURADOR DE SALAS DE LOGITECH	CONFIGURATEUR DE SALLE LOGITECH	CONFIGURATEUR DE SALLE LOGITECH	CONFIGURATEUR DE SALLE LOGITECH	CONFIGURATEUR DE SALLE LOGITECH	LOGITECH ROOM CONFIGURATOR	LOGITECH ROOM CONFIGURATOR	ロジクール 会議室構成ツール	LOGITECH-RUIMTECONFIGURATOR	LOGITECH-RUIMTECONFIGURATOR	CONFIGURADOR DE SALAS DA LOGITECH	罗技会议室配置器	LOGITECH ROOM CONFIGURATOR	LOGITECH ROOM CONFIGURATOR	LOGITECH ROOM CONFIGURATOR	LOGITECH ROOM CONFIGURATOR	LOGITECH ROOM CONFIGURATOR
Configure products for a variety of rooms and setups	Konfigurieren Sie Produkte für verschiedene Räume und Setups	Configure productos para diversos tipos de salas y entornos	Configura productos para diversas salas y entornos	Configurez des produits pour différentes salles et configurations	Configurez des produits pour différentes salles et configurations	Configurez des produits pour différentes salles et configurations	Configurez des produits pour différentes salles et configurations	Configura i prodotti per una grande varietà di sale e configurazioni	Configura i prodotti per una grande varietà di sale e configurazioni	さまざまな会議室やセットアップにあわせてロジクールの製品を構成	Producten configureren voor verschillende ruimtes en opstellingen	Producten configureren voor verschillende ruimtes en opstellingen	Configure produtos para diversas salas e layouts	为各种会议室和设置配置产品	Configure products for a variety of rooms and setups	Configure products for a variety of rooms and setups	Configure products for a variety of rooms and setups	Configure products for a variety of rooms and setups	Configure products for a variety of rooms and setups
How it works:	So funktioniert‘s:	Cómo funciona:	Cómo funciona:	Fonctionnement:	Fonctionnement:	Fonctionnement:	Fonctionnement:	Come funziona:	Come funziona:	仕組み：	Zo werkt het:	Zo werkt het:	Como funciona:	运作方式：	How it works:	How it works:	How it works:	How it works:	How it works:
Choose guided selections based on your room and setup	Wählen Sie aus Vorschlägen für Ihren Raum und Ihr Setup aus	Seleccione las opciones que se le ofrecen según su sala y su configuración	Elige las selecciones guiadas basadas en tu sala y configuración	Choisissez des sélections guidées en fonction de votre salle et de votre configuration	Choisissez des sélections guidées en fonction de votre salle et de votre configuration	Choisissez des sélections guidées en fonction de votre salle et de votre configuration	Choisissez des sélections guidées en fonction de votre salle et de votre configuration	Scegli le selezioni guidate in base alla tua sala e configurazione	Scegli le selezioni guidate in base alla tua sala e configurazione	お客様の会議室とセットアップに基づいて、ガイドで選択	Kies begeleide selecties op basis van uw ruimte en opstelling	Kies begeleide selecties op basis van uw ruimte en opstelling	Escolha opções guiadas com base na sala e na configuração	根据您的会议室和设置选择引导式选项	Choose guided selections based on your room and setup	Choose guided selections based on your room and setup	Choose guided selections based on your room and setup	Choose guided selections based on your room and setup	Choose guided selections based on your room and setup
Get a complete look at the room(s) you configured	Sehen Sie sich eine Vorschau Ihrer Raumkonfiguration an	Obtenga una vista general de la sala que ha configurado	Obtén una visualización completa de las salas que configuraste	Obtenez un aperçu complet des salles que vous avez configurées	Obtenez un aperçu complet des salles que vous avez configurées	Obtenez un aperçu complet des salles que vous avez configurées	Obtenez un aperçu complet des salles que vous avez configurées	Ottieni una panoramica completa della sala o delle sale configurate	Ottieni una panoramica completa della sala o delle sale configurate	構成された会議室全体の完成画像を表示	Krijg een compleet overzicht van de ruimte(s) die u heeft geconfigureerd	Krijg een compleet overzicht van de ruimte(s) die u heeft geconfigureerd	Observe a(s) sala(s) que você configurou	全面查看您配置的会议室	Get a complete look at the room(s) you configured	Get a complete look at the room(s) you configured	Get a complete look at the room(s) you configured	Get a complete look at the room(s) you configured	Get a complete look at the room(s) you configured
View and share your detailed solutions per room	Sie erhalten eine detaillierte Lösungsübersicht zum Ansehen und Teilen	Vea y comparta sus soluciones detalladas por sala	Explora y comparte tus soluciones detalladas por sala	Affichez et partagez vos solutions détaillées par salle	Affichez et partagez vos solutions détaillées par salle	Affichez et partagez vos solutions détaillées par salle	Affichez et partagez vos solutions détaillées par salle	Visualizza e condividi le tue soluzioni dettagliate per sala	Visualizza e condividi le tue soluzioni dettagliate per sala	ソリューション詳細を会議室ごとに表示して共有	Bekijk en deel uw gedetailleerde oplossingen per ruimte	Bekijk en deel uw gedetailleerde oplossingen per ruimte	Visualize e compartilhe as soluções detalhadas por sala	查看并分享您针对会议室的详细解决方案	View and share your detailed solutions per room	View and share your detailed solutions per room	View and share your detailed solutions per room	View and share your detailed solutions per room	View and share your detailed solutions per room
I’m a customer	Ich bin ein Kunde	Soy un cliente	Soy cliente	Je suis client	Je suis client	Je suis client	Je suis client	Sono un cliente	Sono un cliente	私は顧客としてツールを利用します	Ik ben een klant	Ik ben een klant	Sou cliente	我是客户	I’m a customer	I’m a customer	I’m a customer	I’m a customer	I’m a customer
I’m a partner	Ich bin ein Partner	Soy un asociado	Soy asociado	Je suis partenaire	Je suis partenaire	Je suis partenaire	Je suis partenaire	Sono un partner	Sono un partner	私はパートナーとしてツールを利用します	Ik ben een partner	Ik ben een partner	Sou parceiro	我是合作伙伴	I’m a partner	I’m a partner	I’m a partner	I’m a partner	I’m a partner
